"exp","id","block","trial","isold","condition1","condition2","rating","RT_CONF","RT_ON","excluding"
"ZSB2021_e1","ZSB2021_e1_19",2,48,1,"older","RecogFirst",12,153,1865,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,49,0,"older","RecogFirst",12,77,1477,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,50,1,"older","RecogFirst",12,133,1493,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,51,1,"older","RecogFirst",12,85,2194,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,52,0,"older","RecogFirst",1,653,2453,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,53,0,"older","RecogFirst",3,583,2038,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,54,1,"older","RecogFirst",11,169,4099,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,55,0,"older","RecogFirst",2,2265,1573,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,56,0,"older","RecogFirst",11,84,3026,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,57,0,"older","RecogFirst",3,174,4003,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,58,1,"older","RecogFirst",12,142,1378,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,59,1,"older","RecogFirst",12,103,1587,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,60,1,"older","RecogFirst",10,47,11629,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,61,0,"older","RecogFirst",1,1303,2113,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,62,0,"older","RecogFirst",10,706,4166,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,63,0,"older","RecogFirst",3,715,6425,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,64,1,"older","RecogFirst",12,48,2305,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,65,0,"older","RecogFirst",1,3983,1937,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,66,1,"older","RecogFirst",3,75,4842,"Include"
"ZSB2021_e1","ZSB2021_e1_19",2,67,1,"older","RecogFirst",12,225,1739,"Include"
