"exp","id","condition1","block","trial","isold","rating","RT","excluding"
"JCM2019_e1","JCM2019_e1_1","Old85",1,94,1,6,822,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,95,1,6,871,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,96,1,6,901,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,97,1,6,788,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,98,1,6,638,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,99,1,6,1127,"Include"
"JCM2019_e1","JCM2019_e1_1","Old85",1,100,1,2,1229,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,1,1,5,1505,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,2,0,2,1432,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,3,1,2,1368,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,4,0,2,1578,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,5,1,5,1069,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,6,1,5,806,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,7,1,6,1105,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,8,0,5,1447,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,9,1,6,894,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,10,0,5,3186,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,11,0,2,1998,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,12,0,2,1686,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,13,0,6,1677,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,14,1,6,949,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,15,1,5,1361,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,16,0,5,2053,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,17,1,2,1112,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,18,0,3,1253,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,19,0,1,978,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,20,1,6,1239,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,21,1,6,1262,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,22,0,5,1343,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,23,1,6,890,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,24,0,3,830,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,25,0,5,1700,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,26,0,5,1560,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,27,1,5,1211,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,28,1,5,934,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,29,1,5,1618,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,30,1,1,1728,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,31,1,2,1696,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,32,0,2,1455,"Include"
"JCM2019_e1","JCM2019_e1_1","Old65",2,33,1,2,850,"Include"
