"exp","id","item","isold","condition1","rating","RT","excluding","trial"
"FO2016_e2b","FO2016_e2b_10","hope",0,"Aloud",1,2402,"Include",4
"FO2016_e2b","FO2016_e2b_10","excuse",1,"Aloud",3,2450,"Include",5
"FO2016_e2b","FO2016_e2b_10","physician",0,"Aloud",2,1970,"Include",6
"FO2016_e2b","FO2016_e2b_10","series",1,"Aloud",3,2882,"Include",7
"FO2016_e2b","FO2016_e2b_10","leader",0,"Aloud",2,1482,"Include",8
"FO2016_e2b","FO2016_e2b_10","trouble",1,"Aloud",2,2418,"Include",9
"FO2016_e2b","FO2016_e2b_10","diamond",0,"Aloud",1,1818,"Include",10
"FO2016_e2b","FO2016_e2b_10","shadow",0,"Aloud",3,3970,"Include",11
"FO2016_e2b","FO2016_e2b_10","comrade",1,"Aloud",4,3554,"Include",12
"FO2016_e2b","FO2016_e2b_10","lake",0,"Aloud",1,1370,"Include",13
"FO2016_e2b","FO2016_e2b_10","justice",0,"Aloud",1,1482,"Include",14
"FO2016_e2b","FO2016_e2b_10","earth",1,"Aloud",6,2978,"Include",15
"FO2016_e2b","FO2016_e2b_10","king",0,"Aloud",3,1418,"Include",16
"FO2016_e2b","FO2016_e2b_10","custom",1,"Aloud",4,1490,"Include",17
"FO2016_e2b","FO2016_e2b_10","corner",1,"Aloud",2,1642,"Include",18
"FO2016_e2b","FO2016_e2b_10","situation",0,"Aloud",1,1514,"Include",19
"FO2016_e2b","FO2016_e2b_10","nail",0,"Aloud",1,1194,"Include",20
"FO2016_e2b","FO2016_e2b_10","competition",0,"Aloud",5,1698,"Include",21
"FO2016_e2b","FO2016_e2b_10","arm",1,"Aloud",1,1306,"Include",22
"FO2016_e2b","FO2016_e2b_10","garden",1,"Aloud",2,7914,"Include",23
"FO2016_e2b","FO2016_e2b_10","committee",0,"Aloud",2,1322,"Include",24
"FO2016_e2b","FO2016_e2b_10","disposition",0,"Aloud",3,1458,"Include",25
"FO2016_e2b","FO2016_e2b_10","anxiety",0,"Aloud",1,1194,"Include",26
"FO2016_e2b","FO2016_e2b_10","dirt",0,"Aloud",1,2722,"Include",27
"FO2016_e2b","FO2016_e2b_10","misery",0,"Aloud",1,1178,"Include",28
"FO2016_e2b","FO2016_e2b_10","prayer",1,"Aloud",3,2186,"Include",29
"FO2016_e2b","FO2016_e2b_10","effort",0,"Aloud",2,1194,"Include",30
"FO2016_e2b","FO2016_e2b_10","forest",0,"Aloud",1,1058,"Include",31
"FO2016_e2b","FO2016_e2b_10","sovereign",0,"Aloud",1,1082,"Include",32
"FO2016_e2b","FO2016_e2b_10","direction",0,"Aloud",3,1706,"Include",33
"FO2016_e2b","FO2016_e2b_10","meeting",1,"Aloud",5,1546,"Include",34
"FO2016_e2b","FO2016_e2b_10","colony",0,"Aloud",2,1930,"Include",35
"FO2016_e2b","FO2016_e2b_10","intellect",1,"Aloud",5,2058,"Include",36
"FO2016_e2b","FO2016_e2b_10","mercy",1,"Aloud",6,1690,"Include",37
"FO2016_e2b","FO2016_e2b_10","beaver",0,"Aloud",1,1394,"Include",38
"FO2016_e2b","FO2016_e2b_10","charter",1,"Aloud",6,1594,"Include",39
"FO2016_e2b","FO2016_e2b_10","revolt",0,"Aloud",2,1554,"Include",40
"FO2016_e2b","FO2016_e2b_10","marriage",0,"Aloud",1,2930,"Include",41
"FO2016_e2b","FO2016_e2b_10","moral",0,"Aloud",2,1258,"Include",42
"FO2016_e2b","FO2016_e2b_10","frog",0,"Aloud",4,1538,"Include",43
"FO2016_e2b","FO2016_e2b_10","chin",0,"Aloud",3,1442,"Include",44
"FO2016_e2b","FO2016_e2b_10","monarch",0,"Aloud",2,1370,"Include",45
"FO2016_e2b","FO2016_e2b_10","star",0,"Aloud",1,1466,"Include",46
"FO2016_e2b","FO2016_e2b_10","woods",0,"Aloud",3,2514,"Include",47
"FO2016_e2b","FO2016_e2b_10","scarlet",1,"Aloud",6,1514,"Include",48
"FO2016_e2b","FO2016_e2b_10","elephant",0,"Aloud",1,1442,"Include",49
"FO2016_e2b","FO2016_e2b_10","speech",0,"Aloud",3,5066,"Include",50
"FO2016_e2b","FO2016_e2b_10","gentleman",1,"Aloud",2,2138,"Include",51
"FO2016_e2b","FO2016_e2b_10","wine",1,"Aloud",1,1546,"Include",52
"FO2016_e2b","FO2016_e2b_10","fox",1,"Aloud",4,1490,"Include",53
"FO2016_e2b","FO2016_e2b_10","chair",1,"Aloud",5,1218,"Include",54
"FO2016_e2b","FO2016_e2b_10","camp",1,"Aloud",6,1586,"Include",55
"FO2016_e2b","FO2016_e2b_10","hammer",1,"Aloud",6,1466,"Include",56
"FO2016_e2b","FO2016_e2b_10","democracy",1,"Aloud",2,4194,"Include",57
"FO2016_e2b","FO2016_e2b_10","atmosphere",1,"Aloud",6,1386,"Include",58
"FO2016_e2b","FO2016_e2b_10","deed",0,"Aloud",2,4450,"Include",59
"FO2016_e2b","FO2016_e2b_10","circuit",1,"Aloud",6,1282,"Include",60
"FO2016_e2b","FO2016_e2b_10","attribute",0,"Aloud",5,1250,"Include",61
"FO2016_e2b","FO2016_e2b_10","prison",1,"Aloud",2,1170,"Include",62
"FO2016_e2b","FO2016_e2b_10","attendant",1,"Aloud",4,3530,"Include",63
"FO2016_e2b","FO2016_e2b_10","person",1,"Aloud",6,2306,"Include",64
"FO2016_e2b","FO2016_e2b_10","harness",0,"Aloud",5,2322,"Include",65
"FO2016_e2b","FO2016_e2b_10","winter",1,"Aloud",2,5658,"Include",66
"FO2016_e2b","FO2016_e2b_10","folly",1,"Aloud",2,3690,"Include",67
"FO2016_e2b","FO2016_e2b_10","law",1,"Aloud",6,1202,"Include",68
"FO2016_e2b","FO2016_e2b_10","tribute",1,"Aloud",4,1418,"Include",69
"FO2016_e2b","FO2016_e2b_10","jail",0,"Aloud",1,1394,"Include",70
"FO2016_e2b","FO2016_e2b_10","menace",0,"Aloud",5,3434,"Include",71
"FO2016_e2b","FO2016_e2b_10","pupil",1,"Aloud",2,1242,"Include",72
"FO2016_e2b","FO2016_e2b_10","mind",1,"Aloud",4,1090,"Include",73
"FO2016_e2b","FO2016_e2b_10","iron",1,"Aloud",5,1186,"Include",74
"FO2016_e2b","FO2016_e2b_10","vegetable",1,"Aloud",6,1194,"Include",75
"FO2016_e2b","FO2016_e2b_10","money",1,"Aloud",2,1234,"Include",76
"FO2016_e2b","FO2016_e2b_10","boss",1,"Aloud",3,5106,"Include",77
"FO2016_e2b","FO2016_e2b_10","claw",0,"Aloud",2,2242,"Include",78
"FO2016_e2b","FO2016_e2b_10","procession",1,"Aloud",5,1618,"Include",79
"FO2016_e2b","FO2016_e2b_10","lark",1,"Aloud",1,1202,"Include",80
