"exp","id","isold","rating","RT","excluding","trial","condition1"
"KL2012_e2","KL2012_e2_44",0,5,2927,"Include",15,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2126,"Include",16,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,3431,"Include",17,"Block1"
"KL2012_e2","KL2012_e2_44",1,2,2113,"Include",18,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,4575,"Include",19,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,3208,"Include",20,"Block1"
"KL2012_e2","KL2012_e2_44",0,1,1619,"Include",21,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,5011,"Include",22,"Block1"
"KL2012_e2","KL2012_e2_44",1,4,3673,"Include",23,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2292,"Include",24,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,3624,"Include",25,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,3030,"Include",26,"Block1"
"KL2012_e2","KL2012_e2_44",1,4,4215,"Include",27,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1807,"Include",28,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,3074,"Include",29,"Block1"
"KL2012_e2","KL2012_e2_44",0,5,2364,"Include",30,"Block1"
"KL2012_e2","KL2012_e2_44",0,5,3351,"Include",31,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2532,"Include",32,"Block1"
"KL2012_e2","KL2012_e2_44",0,2,2283,"Include",33,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1885,"Include",34,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,2768,"Include",35,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,3417,"Include",36,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,3193,"Include",37,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1667,"Include",38,"Block1"
"KL2012_e2","KL2012_e2_44",1,4,2936,"Include",39,"Block1"
"KL2012_e2","KL2012_e2_44",0,5,2769,"Include",40,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1277,"Include",41,"Block1"
"KL2012_e2","KL2012_e2_44",0,6,1659,"Include",42,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,3300,"Include",43,"Block1"
"KL2012_e2","KL2012_e2_44",0,3,4617,"Include",44,"Block1"
"KL2012_e2","KL2012_e2_44",1,5,2700,"Include",45,"Block1"
"KL2012_e2","KL2012_e2_44",0,4,1902,"Include",46,"Block1"
"KL2012_e2","KL2012_e2_44",1,6,1455,"Include",47,"Block1"
"KL2012_e2","KL2012_e2_44",1,4,3606,"Include",48,"Block1"
