"exp","id","isold","condition1","rating","RT","excluding","trial"
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,2000,"Include",100
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,733,"Include",101
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1050,"Include",102
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,550,"Include",103
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,1450,"Include",104
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,2450,"Include",105
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1767,"Include",106
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,2400,"Include",107
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,450,"Include",108
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1300,"Include",109
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1100,"Include",110
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1150,"Include",111
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1250,"Include",112
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,500,"Include",113
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1350,"Include",114
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,1017,"Include",115
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,900,"Include",116
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,567,"Include",117
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1400,"Include",118
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,550,"Include",119
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,800,"Include",120
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,2000,"Include",121
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,2400,"Include",122
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,2200,"Include",123
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,1600,"Include",124
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1750,"Include",125
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1600,"Include",126
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,2100,"Include",127
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1150,"Include",128
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,4000,"Include",129
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,2350,"Include",130
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,1000,"Include",131
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,2250,"Include",132
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,800,"Include",133
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,700,"Include",134
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1350,"Include",135
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1650,"Include",136
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1600,"Include",137
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,850,"Include",138
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,2917,"Include",139
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1600,"Include",140
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,2450,"Include",141
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,1400,"Include",142
