"exp","id","block","isold","rating","RT","excluding","trial"
"WKH2020_e1","WKH2020_e1_2",1,1,5,2091,"Include",62
"WKH2020_e1","WKH2020_e1_2",1,0,4,2622,"Include",63
"WKH2020_e1","WKH2020_e1_2",1,0,2,1823,"Include",64
"WKH2020_e1","WKH2020_e1_2",1,1,5,1984,"Include",65
"WKH2020_e1","WKH2020_e1_2",1,1,4,2649,"Include",66
"WKH2020_e1","WKH2020_e1_2",1,0,3,2067,"Include",67
"WKH2020_e1","WKH2020_e1_2",1,0,2,1741,"Include",68
"WKH2020_e1","WKH2020_e1_2",1,0,3,2483,"Include",69
"WKH2020_e1","WKH2020_e1_2",1,0,3,2474,"Include",70
"WKH2020_e1","WKH2020_e1_2",1,1,5,1618,"Include",71
"WKH2020_e1","WKH2020_e1_2",1,1,5,1635,"Include",72
"WKH2020_e1","WKH2020_e1_2",1,0,2,2462,"Include",73
"WKH2020_e1","WKH2020_e1_2",1,1,6,2076,"Include",74
"WKH2020_e1","WKH2020_e1_2",1,1,4,2383,"Include",75
"WKH2020_e1","WKH2020_e1_2",1,0,2,1874,"Include",76
"WKH2020_e1","WKH2020_e1_2",1,1,4,2033,"Include",77
"WKH2020_e1","WKH2020_e1_2",1,0,2,2745,"Include",78
"WKH2020_e1","WKH2020_e1_2",1,1,4,2077,"Include",79
"WKH2020_e1","WKH2020_e1_2",1,0,3,1951,"Include",80
"WKH2020_e1","WKH2020_e1_2",1,0,3,1937,"Include",81
"WKH2020_e1","WKH2020_e1_2",1,0,2,4642,"Include",82
"WKH2020_e1","WKH2020_e1_2",1,1,3,1684,"Include",83
"WKH2020_e1","WKH2020_e1_2",1,1,3,3330,"Include",84
"WKH2020_e1","WKH2020_e1_2",1,1,6,1461,"Include",85
"WKH2020_e1","WKH2020_e1_2",1,0,2,1774,"Include",86
"WKH2020_e1","WKH2020_e1_2",1,0,2,2676,"Include",87
"WKH2020_e1","WKH2020_e1_2",1,1,6,1860,"Include",88
"WKH2020_e1","WKH2020_e1_2",1,1,5,3422,"Include",89
"WKH2020_e1","WKH2020_e1_2",1,1,5,1790,"Include",90
"WKH2020_e1","WKH2020_e1_2",1,0,2,1639,"Include",91
"WKH2020_e1","WKH2020_e1_2",1,0,2,1857,"Include",92
"WKH2020_e1","WKH2020_e1_2",1,1,6,1788,"Include",93
"WKH2020_e1","WKH2020_e1_2",1,1,6,1600,"Include",94
"WKH2020_e1","WKH2020_e1_2",1,0,3,2752,"Include",95
"WKH2020_e1","WKH2020_e1_2",1,0,3,1881,"Include",96
"WKH2020_e1","WKH2020_e1_2",1,1,5,2153,"Include",97
"WKH2020_e1","WKH2020_e1_2",1,0,2,1764,"Include",98
"WKH2020_e1","WKH2020_e1_2",1,1,5,1885,"Include",99
"WKH2020_e1","WKH2020_e1_2",1,0,2,1490,"Include",100
