"exp","id","isold","rating","RT","excluding","trial"
"KL2012_e4","KL2012_e4_1",1,2,1045,"Include",88
"KL2012_e4","KL2012_e4_1",0,2,695,"Include",89
"KL2012_e4","KL2012_e4_1",0,1,1164,"Include",90
"KL2012_e4","KL2012_e4_1",0,2,967,"Include",91
"KL2012_e4","KL2012_e4_1",1,4,1329,"Include",92
"KL2012_e4","KL2012_e4_1",0,1,1367,"Include",93
"KL2012_e4","KL2012_e4_1",0,4,1977,"Include",94
"KL2012_e4","KL2012_e4_1",1,5,1942,"Include",95
"KL2012_e4","KL2012_e4_1",1,3,1869,"Include",96
"KL2012_e4","KL2012_e4_10",0,1,5549,"Include",1
"KL2012_e4","KL2012_e4_10",1,1,3503,"Include",2
"KL2012_e4","KL2012_e4_10",1,5,4960,"Include",3
"KL2012_e4","KL2012_e4_10",1,5,2986,"Include",4
"KL2012_e4","KL2012_e4_10",1,6,1604,"Include",5
"KL2012_e4","KL2012_e4_10",1,2,4760,"Include",6
"KL2012_e4","KL2012_e4_10",1,5,3236,"Include",7
"KL2012_e4","KL2012_e4_10",0,2,3761,"Include",8
"KL2012_e4","KL2012_e4_10",1,2,2604,"Include",9
"KL2012_e4","KL2012_e4_10",1,2,1665,"Include",10
"KL2012_e4","KL2012_e4_10",0,2,1765,"Include",11
"KL2012_e4","KL2012_e4_10",0,2,1142,"Include",12
"KL2012_e4","KL2012_e4_10",1,4,3673,"Include",13
"KL2012_e4","KL2012_e4_10",0,4,1865,"Include",14
"KL2012_e4","KL2012_e4_10",1,2,1673,"Include",15
"KL2012_e4","KL2012_e4_10",1,5,2525,"Include",16
"KL2012_e4","KL2012_e4_10",1,5,2967,"Include",17
"KL2012_e4","KL2012_e4_10",1,2,3433,"Include",18
"KL2012_e4","KL2012_e4_10",0,1,2473,"Include",19
"KL2012_e4","KL2012_e4_10",1,2,2009,"Include",20
"KL2012_e4","KL2012_e4_10",0,2,1377,"Include",21
"KL2012_e4","KL2012_e4_10",0,2,1591,"Include",22
"KL2012_e4","KL2012_e4_10",0,2,1829,"Include",23
"KL2012_e4","KL2012_e4_10",0,2,1185,"Include",24
"KL2012_e4","KL2012_e4_10",1,5,1970,"Include",25
"KL2012_e4","KL2012_e4_10",1,2,1062,"Include",26
"KL2012_e4","KL2012_e4_10",1,2,1720,"Include",27
"KL2012_e4","KL2012_e4_10",0,2,1403,"Include",28
"KL2012_e4","KL2012_e4_10",0,2,3482,"Include",29
"KL2012_e4","KL2012_e4_10",0,5,1662,"Include",30
"KL2012_e4","KL2012_e4_10",0,1,1323,"Include",31
"KL2012_e4","KL2012_e4_10",0,1,1146,"Include",32
"KL2012_e4","KL2012_e4_10",1,1,1710,"Include",33
"KL2012_e4","KL2012_e4_10",0,1,707,"Include",34
"KL2012_e4","KL2012_e4_10",0,1,1055,"Include",35
"KL2012_e4","KL2012_e4_10",0,1,624,"Include",36
"KL2012_e4","KL2012_e4_10",0,1,1042,"Include",37
"KL2012_e4","KL2012_e4_10",0,1,1145,"Include",38
"KL2012_e4","KL2012_e4_10",1,1,2375,"Include",39
"KL2012_e4","KL2012_e4_10",0,1,858,"Include",40
"KL2012_e4","KL2012_e4_10",1,1,1005,"Include",41
"KL2012_e4","KL2012_e4_10",1,1,868,"Include",42
"KL2012_e4","KL2012_e4_10",0,1,941,"Include",43
"KL2012_e4","KL2012_e4_10",0,1,3625,"Include",44
"KL2012_e4","KL2012_e4_10",1,1,1051,"Include",45
"KL2012_e4","KL2012_e4_10",0,1,3536,"Include",46
"KL2012_e4","KL2012_e4_10",0,2,2809,"Include",47
"KL2012_e4","KL2012_e4_10",1,4,3756,"Include",48
"KL2012_e4","KL2012_e4_10",0,2,1496,"Include",49
"KL2012_e4","KL2012_e4_10",0,2,1705,"Include",50
"KL2012_e4","KL2012_e4_10",0,2,1279,"Include",51
"KL2012_e4","KL2012_e4_10",1,1,4127,"Include",52
"KL2012_e4","KL2012_e4_10",1,6,4347,"Include",53
"KL2012_e4","KL2012_e4_10",0,2,3646,"Include",54
"KL2012_e4","KL2012_e4_10",1,2,2481,"Include",55
"KL2012_e4","KL2012_e4_10",1,6,2924,"Include",56
"KL2012_e4","KL2012_e4_10",1,2,1022,"Include",57
"KL2012_e4","KL2012_e4_10",1,2,1388,"Include",58
"KL2012_e4","KL2012_e4_10",0,2,1096,"Include",59
"KL2012_e4","KL2012_e4_10",1,5,1516,"Include",60
"KL2012_e4","KL2012_e4_10",1,5,2280,"Include",61
"KL2012_e4","KL2012_e4_10",1,2,938,"Include",62
"KL2012_e4","KL2012_e4_10",0,5,1852,"Include",63
"KL2012_e4","KL2012_e4_10",1,5,2110,"Include",64
"KL2012_e4","KL2012_e4_10",1,2,1597,"Include",65
"KL2012_e4","KL2012_e4_10",0,2,1040,"Include",66
"KL2012_e4","KL2012_e4_10",1,2,783,"Include",67
"KL2012_e4","KL2012_e4_10",1,2,877,"Include",68
"KL2012_e4","KL2012_e4_10",1,2,3567,"Include",69
"KL2012_e4","KL2012_e4_10",1,2,1092,"Include",70
"KL2012_e4","KL2012_e4_10",0,2,2001,"Include",71
"KL2012_e4","KL2012_e4_10",0,5,2755,"Include",72
"KL2012_e4","KL2012_e4_10",0,2,781,"Include",73
"KL2012_e4","KL2012_e4_10",0,2,1026,"Include",74
"KL2012_e4","KL2012_e4_10",0,2,3285,"Include",75
"KL2012_e4","KL2012_e4_10",0,1,2215,"Include",76
"KL2012_e4","KL2012_e4_10",0,4,2464,"Include",77
"KL2012_e4","KL2012_e4_10",0,4,3502,"Include",78
"KL2012_e4","KL2012_e4_10",1,4,2316,"Include",79
"KL2012_e4","KL2012_e4_10",1,6,1855,"Include",80
"KL2012_e4","KL2012_e4_10",1,2,2214,"Include",81
"KL2012_e4","KL2012_e4_10",0,2,1430,"Include",82
"KL2012_e4","KL2012_e4_10",1,2,825,"Include",83
"KL2012_e4","KL2012_e4_10",0,2,1937,"Include",84
"KL2012_e4","KL2012_e4_10",0,2,1222,"Include",85
"KL2012_e4","KL2012_e4_10",0,1,3377,"Include",86
"KL2012_e4","KL2012_e4_10",0,1,1471,"Include",87
"KL2012_e4","KL2012_e4_10",1,1,698,"Include",88
"KL2012_e4","KL2012_e4_10",1,5,4415,"Include",89
"KL2012_e4","KL2012_e4_10",1,4,1814,"Include",90
"KL2012_e4","KL2012_e4_10",0,4,1317,"Include",91
"KL2012_e4","KL2012_e4_10",1,6,1974,"Include",92
"KL2012_e4","KL2012_e4_10",1,6,1824,"Include",93
"KL2012_e4","KL2012_e4_10",0,1,1604,"Include",94
"KL2012_e4","KL2012_e4_10",0,1,3012,"Include",95
"KL2012_e4","KL2012_e4_10",1,1,1210,"Include",96
"KL2012_e4","KL2012_e4_11",1,3,9743,"Include",1
"KL2012_e4","KL2012_e4_11",1,4,3118,"Include",2
"KL2012_e4","KL2012_e4_11",1,6,2921,"Include",3
"KL2012_e4","KL2012_e4_11",0,3,2211,"Include",4
"KL2012_e4","KL2012_e4_11",0,3,1472,"Include",5
"KL2012_e4","KL2012_e4_11",1,4,1536,"Include",6
"KL2012_e4","KL2012_e4_11",0,4,1236,"Include",7
"KL2012_e4","KL2012_e4_11",0,3,1740,"Include",8
"KL2012_e4","KL2012_e4_11",1,5,1641,"Include",9
"KL2012_e4","KL2012_e4_11",0,3,1459,"Include",10
"KL2012_e4","KL2012_e4_11",0,3,1446,"Include",11
"KL2012_e4","KL2012_e4_11",1,3,2000,"Include",12
"KL2012_e4","KL2012_e4_11",1,5,1627,"Include",13
"KL2012_e4","KL2012_e4_11",1,3,1088,"Include",14
"KL2012_e4","KL2012_e4_11",1,6,3237,"Include",15
"KL2012_e4","KL2012_e4_11",1,4,1983,"Include",16
"KL2012_e4","KL2012_e4_11",0,3,2047,"Include",17
"KL2012_e4","KL2012_e4_11",1,6,1449,"Include",18
"KL2012_e4","KL2012_e4_11",1,4,2116,"Include",19
"KL2012_e4","KL2012_e4_11",1,4,1910,"Include",20
"KL2012_e4","KL2012_e4_11",0,4,3070,"Include",21
"KL2012_e4","KL2012_e4_11",1,4,1470,"Include",22
"KL2012_e4","KL2012_e4_11",0,3,794,"Include",23
"KL2012_e4","KL2012_e4_11",1,4,1260,"Include",24
"KL2012_e4","KL2012_e4_11",1,4,964,"Include",25
"KL2012_e4","KL2012_e4_11",1,3,1135,"Include",26
"KL2012_e4","KL2012_e4_11",0,3,764,"Include",27
"KL2012_e4","KL2012_e4_11",1,4,1838,"Include",28
"KL2012_e4","KL2012_e4_11",1,2,2097,"Include",29
"KL2012_e4","KL2012_e4_11",1,4,2750,"Include",30
"KL2012_e4","KL2012_e4_11",1,3,1250,"Include",31
"KL2012_e4","KL2012_e4_11",1,4,2144,"Include",32
"KL2012_e4","KL2012_e4_11",0,3,736,"Include",33
"KL2012_e4","KL2012_e4_11",0,4,1045,"Include",34
"KL2012_e4","KL2012_e4_11",1,4,757,"Include",35
"KL2012_e4","KL2012_e4_11",1,3,1455,"Include",36
"KL2012_e4","KL2012_e4_11",1,3,1154,"Include",37
"KL2012_e4","KL2012_e4_11",1,3,4114,"Include",38
"KL2012_e4","KL2012_e4_11",1,3,1073,"Include",39
"KL2012_e4","KL2012_e4_11",1,4,2489,"Include",40
"KL2012_e4","KL2012_e4_11",0,3,1365,"Include",41
"KL2012_e4","KL2012_e4_11",0,3,1548,"Include",42
"KL2012_e4","KL2012_e4_11",0,3,1429,"Include",43
"KL2012_e4","KL2012_e4_11",1,4,1101,"Include",44
"KL2012_e4","KL2012_e4_11",0,2,1962,"Include",45
"KL2012_e4","KL2012_e4_11",1,2,1908,"Include",46
"KL2012_e4","KL2012_e4_11",1,4,684,"Include",47
"KL2012_e4","KL2012_e4_11",1,4,6110,"Include",48
"KL2012_e4","KL2012_e4_11",1,3,782,"Include",49
"KL2012_e4","KL2012_e4_11",1,3,1806,"Include",50
"KL2012_e4","KL2012_e4_11",1,2,1720,"Include",51
"KL2012_e4","KL2012_e4_11",0,2,1000,"Include",52
"KL2012_e4","KL2012_e4_11",1,6,1642,"Include",53
"KL2012_e4","KL2012_e4_11",0,3,2093,"Include",54
"KL2012_e4","KL2012_e4_11",0,4,3450,"Include",55
"KL2012_e4","KL2012_e4_11",0,4,1119,"Include",56
"KL2012_e4","KL2012_e4_11",0,3,1216,"Include",57
"KL2012_e4","KL2012_e4_11",1,6,3290,"Include",58
"KL2012_e4","KL2012_e4_11",1,5,3728,"Include",59
"KL2012_e4","KL2012_e4_11",0,3,2949,"Include",60
"KL2012_e4","KL2012_e4_11",1,3,1748,"Include",61
"KL2012_e4","KL2012_e4_11",1,5,3052,"Include",62
"KL2012_e4","KL2012_e4_11",1,6,1449,"Include",63
"KL2012_e4","KL2012_e4_11",0,4,1326,"Include",64
"KL2012_e4","KL2012_e4_11",0,3,1936,"Include",65
"KL2012_e4","KL2012_e4_11",0,5,1542,"Include",66
"KL2012_e4","KL2012_e4_11",0,6,3090,"Include",67
"KL2012_e4","KL2012_e4_11",0,3,1272,"Include",68
"KL2012_e4","KL2012_e4_11",0,3,2912,"Include",69
"KL2012_e4","KL2012_e4_11",0,5,2014,"Include",70
"KL2012_e4","KL2012_e4_11",0,5,1915,"Include",71
"KL2012_e4","KL2012_e4_11",0,3,2606,"Include",72
