"exp","id","trial","isold","rating","excluding"
"NFR2013_e3","NFR2013_e3_1",97,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",98,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",99,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",100,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",101,1,3,"Include"
"NFR2013_e3","NFR2013_e3_1",102,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",103,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",104,0,5,"Include"
"NFR2013_e3","NFR2013_e3_1",105,0,3,"Include"
"NFR2013_e3","NFR2013_e3_1",106,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",107,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",108,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",109,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",110,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",111,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",112,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",113,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",114,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",115,0,5,"Include"
"NFR2013_e3","NFR2013_e3_1",116,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",117,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",118,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",119,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",120,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",121,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",122,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",123,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",124,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",125,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",126,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",127,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",128,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",129,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",130,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",131,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",132,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",133,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",134,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",135,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",136,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",137,1,1,"Include"
"NFR2013_e3","NFR2013_e3_1",138,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",139,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",140,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",141,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",142,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",143,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",144,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",145,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",146,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",147,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",148,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",149,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",150,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",151,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",152,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",153,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",154,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",155,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",156,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",157,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",158,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",159,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",160,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",161,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",162,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",163,1,2,"Include"
"NFR2013_e3","NFR2013_e3_1",164,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",165,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",166,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",167,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",168,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",169,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",170,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",171,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",172,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",173,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",174,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",175,1,4,"Include"
"NFR2013_e3","NFR2013_e3_1",176,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",177,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",178,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",179,0,2,"Include"
"NFR2013_e3","NFR2013_e3_1",180,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",181,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",182,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",183,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",184,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",185,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",186,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",187,1,5,"Include"
"NFR2013_e3","NFR2013_e3_1",188,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",189,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",190,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",191,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",192,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",193,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",194,1,2,"Include"
"NFR2013_e3","NFR2013_e3_1",195,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",196,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",197,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",198,0,1,"Include"
"NFR2013_e3","NFR2013_e3_1",199,1,6,"Include"
"NFR2013_e3","NFR2013_e3_1",200,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",1,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",2,1,2,"Include"
"NFR2013_e3","NFR2013_e3_2",3,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",4,0,4,"Include"
"NFR2013_e3","NFR2013_e3_2",5,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",6,0,2,"Include"
"NFR2013_e3","NFR2013_e3_2",7,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",8,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",9,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",10,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",11,1,4,"Include"
"NFR2013_e3","NFR2013_e3_2",12,0,2,"Include"
"NFR2013_e3","NFR2013_e3_2",13,1,1,"Include"
"NFR2013_e3","NFR2013_e3_2",14,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",15,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",16,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",17,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",18,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",19,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",20,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",21,1,3,"Include"
"NFR2013_e3","NFR2013_e3_2",22,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",23,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",24,0,6,"Include"
"NFR2013_e3","NFR2013_e3_2",25,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",26,1,3,"Include"
"NFR2013_e3","NFR2013_e3_2",27,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",28,0,2,"Include"
"NFR2013_e3","NFR2013_e3_2",29,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",30,0,4,"Include"
"NFR2013_e3","NFR2013_e3_2",31,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",32,0,5,"Include"
"NFR2013_e3","NFR2013_e3_2",33,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",34,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",35,0,1,"Include"
"NFR2013_e3","NFR2013_e3_2",36,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",37,0,2,"Include"
"NFR2013_e3","NFR2013_e3_2",38,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",39,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",40,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",41,0,2,"Include"
"NFR2013_e3","NFR2013_e3_2",42,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",43,1,4,"Include"
"NFR2013_e3","NFR2013_e3_2",44,0,3,"Include"
"NFR2013_e3","NFR2013_e3_2",45,1,6,"Include"
"NFR2013_e3","NFR2013_e3_2",46,0,2,"Include"
"NFR2013_e3","NFR2013_e3_2",47,0,1,"Include"
