"exp","id","trial","isold","condition1","rating","excluding"
"TR2017_e1","TR2017_e1_1",137,0,"ScaleLength20",16,"Include"
"TR2017_e1","TR2017_e1_1",138,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",139,1,"ScaleLength20",38,"Include"
"TR2017_e1","TR2017_e1_1",140,0,"ScaleLength20",5,"Include"
"TR2017_e1","TR2017_e1_1",141,1,"ScaleLength20",36,"Include"
"TR2017_e1","TR2017_e1_1",142,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",143,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",144,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",145,1,"ScaleLength20",28,"Include"
"TR2017_e1","TR2017_e1_1",146,0,"ScaleLength20",5,"Include"
"TR2017_e1","TR2017_e1_1",147,0,"ScaleLength20",8,"Include"
"TR2017_e1","TR2017_e1_1",148,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",149,1,"ScaleLength20",29,"Include"
"TR2017_e1","TR2017_e1_1",150,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",151,0,"ScaleLength20",7,"Include"
"TR2017_e1","TR2017_e1_1",152,0,"ScaleLength20",11,"Include"
"TR2017_e1","TR2017_e1_1",153,1,"ScaleLength20",28,"Include"
"TR2017_e1","TR2017_e1_1",154,0,"ScaleLength20",11,"Include"
"TR2017_e1","TR2017_e1_1",155,1,"ScaleLength20",38,"Include"
"TR2017_e1","TR2017_e1_1",156,1,"ScaleLength20",25,"Include"
"TR2017_e1","TR2017_e1_1",157,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",158,1,"ScaleLength20",34,"Include"
"TR2017_e1","TR2017_e1_1",159,0,"ScaleLength20",13,"Include"
"TR2017_e1","TR2017_e1_1",160,1,"ScaleLength20",30,"Include"
"TR2017_e1","TR2017_e1_1",161,1,"ScaleLength20",31,"Include"
"TR2017_e1","TR2017_e1_1",162,0,"ScaleLength20",8,"Include"
"TR2017_e1","TR2017_e1_1",163,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",164,1,"ScaleLength20",33,"Include"
"TR2017_e1","TR2017_e1_1",165,0,"ScaleLength20",14,"Include"
"TR2017_e1","TR2017_e1_1",166,1,"ScaleLength20",30,"Include"
"TR2017_e1","TR2017_e1_1",167,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",168,1,"ScaleLength20",27,"Include"
"TR2017_e1","TR2017_e1_1",169,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",170,1,"ScaleLength20",33,"Include"
"TR2017_e1","TR2017_e1_1",171,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",172,1,"ScaleLength20",35,"Include"
"TR2017_e1","TR2017_e1_1",173,1,"ScaleLength20",28,"Include"
"TR2017_e1","TR2017_e1_1",174,1,"ScaleLength20",34,"Include"
"TR2017_e1","TR2017_e1_1",175,0,"ScaleLength20",9,"Include"
"TR2017_e1","TR2017_e1_1",176,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",177,0,"ScaleLength20",7,"Include"
"TR2017_e1","TR2017_e1_1",178,1,"ScaleLength20",25,"Include"
"TR2017_e1","TR2017_e1_1",179,0,"ScaleLength20",8,"Include"
"TR2017_e1","TR2017_e1_1",180,1,"ScaleLength20",35,"Include"
"TR2017_e1","TR2017_e1_1",181,0,"ScaleLength20",6,"Include"
"TR2017_e1","TR2017_e1_1",182,0,"ScaleLength20",4,"Include"
"TR2017_e1","TR2017_e1_1",183,1,"ScaleLength20",32,"Include"
"TR2017_e1","TR2017_e1_1",184,1,"ScaleLength20",36,"Include"
"TR2017_e1","TR2017_e1_1",185,1,"ScaleLength20",34,"Include"
"TR2017_e1","TR2017_e1_1",186,1,"ScaleLength20",30,"Include"
"TR2017_e1","TR2017_e1_1",187,0,"ScaleLength20",8,"Include"
"TR2017_e1","TR2017_e1_1",188,1,"ScaleLength20",34,"Include"
"TR2017_e1","TR2017_e1_1",189,0,"ScaleLength20",7,"Include"
