"exp","id","item","trial","isold","condition1","rating","excluding"
"WHD2018_e1","WHD2018_e1_103","aal",1121,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","perceel",1122,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","knop",1123,1,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","expeditie",1124,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","koeienhuid",1125,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","vochtigheid",1126,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","geval",1127,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","vergif",1128,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","potlood",1129,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","kruis",1130,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","reuzel",1131,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","juk",1132,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","werkster",1133,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","stap",1134,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","stapel",1135,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","zomer",1136,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","oven",1137,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","duif",1138,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","tornado",1139,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","eend",1140,1,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","ronde",1141,1,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","kreeft",1142,0,"Vertex",5,"Include"
