"exp","id","item","isold","rating","RT","excluding","trial"
"KY2011_e1","KY2011_e1_2","INCREASES",0,1,1374,"Include",160
"KY2011_e1","KY2011_e1_2","VEHICLE",1,6,945,"Include",161
"KY2011_e1","KY2011_e1_2","SALE",0,6,2809,"Include",162
"KY2011_e1","KY2011_e1_2","MARSHALL",0,6,982,"Include",163
"KY2011_e1","KY2011_e1_2","ENVELOPE",1,1,4559,"Include",164
"KY2011_e1","KY2011_e1_2","LIBRARY",1,6,802,"Include",165
"KY2011_e1","KY2011_e1_2","FINDINGS",1,6,1691,"Include",166
"KY2011_e1","KY2011_e1_2","SPECIMEN",0,1,1184,"Include",167
"KY2011_e1","KY2011_e1_2","SESSION",1,6,974,"Include",168
"KY2011_e1","KY2011_e1_2","STILE",0,6,837,"Include",169
"KY2011_e1","KY2011_e1_2","FORMULA",1,6,700,"Include",170
"KY2011_e1","KY2011_e1_2","GUEST",1,6,764,"Include",171
"KY2011_e1","KY2011_e1_2","WEAPON",1,6,910,"Include",172
"KY2011_e1","KY2011_e1_2","GIANTS",0,1,1093,"Include",173
"KY2011_e1","KY2011_e1_2","BUILDER",1,1,1103,"Include",174
"KY2011_e1","KY2011_e1_2","JUNIORS",0,1,1247,"Include",175
"KY2011_e1","KY2011_e1_2","SOCIETIES",1,1,1065,"Include",176
"KY2011_e1","KY2011_e1_2","ANODE",1,6,1423,"Include",177
"KY2011_e1","KY2011_e1_2","DUTY",0,1,1999,"Include",178
"KY2011_e1","KY2011_e1_2","GENTLEMAN",1,6,1244,"Include",179
"KY2011_e1","KY2011_e1_2","TECHNIQUE",1,6,933,"Include",180
"KY2011_e1","KY2011_e1_2","DESTINY",0,6,1009,"Include",181
"KY2011_e1","KY2011_e1_2","INSECTS",0,1,1755,"Include",182
"KY2011_e1","KY2011_e1_2","PORTION",1,6,906,"Include",183
"KY2011_e1","KY2011_e1_2","DISASTER",0,1,868,"Include",184
"KY2011_e1","KY2011_e1_2","BLUES",1,1,1096,"Include",185
"KY2011_e1","KY2011_e1_2","GOLF",1,6,836,"Include",186
"KY2011_e1","KY2011_e1_2","NOBODY",1,1,1128,"Include",187
"KY2011_e1","KY2011_e1_2","ATOM",0,6,1474,"Include",188
"KY2011_e1","KY2011_e1_2","PARTICLE",0,1,2308,"Include",189
"KY2011_e1","KY2011_e1_2","INTENSITY",1,1,2401,"Include",190
"KY2011_e1","KY2011_e1_2","TRIALS",0,6,975,"Include",191
"KY2011_e1","KY2011_e1_2","PEAS",0,1,1480,"Include",192
"KY2011_e1","KY2011_e1_2","THICKNESS",1,1,4393,"Include",193
"KY2011_e1","KY2011_e1_2","CANCER",1,6,1285,"Include",194
"KY2011_e1","KY2011_e1_2","VIRTUE",0,1,847,"Include",195
"KY2011_e1","KY2011_e1_2","LAWYER",0,6,951,"Include",196
"KY2011_e1","KY2011_e1_2","TSUNAMI",0,1,898,"Include",197
"KY2011_e1","KY2011_e1_2","DEVIL",1,6,827,"Include",198
"KY2011_e1","KY2011_e1_2","THROAT",1,6,980,"Include",199
"KY2011_e1","KY2011_e1_2","SCOPE",1,6,720,"Include",200
"KY2011_e1","KY2011_e1_2","RESIDENCE",1,6,1435,"Include",201
"KY2011_e1","KY2011_e1_2","FABRICS",1,1,1167,"Include",202
"KY2011_e1","KY2011_e1_2","SUBSTANCE",0,6,767,"Include",203
"KY2011_e1","KY2011_e1_2","REPORTER",0,6,1104,"Include",204
"KY2011_e1","KY2011_e1_2","SKILLS",0,6,760,"Include",205
"KY2011_e1","KY2011_e1_2","EXPOSURE",1,6,881,"Include",206
"KY2011_e1","KY2011_e1_2","FURNITURE",0,1,1288,"Include",207
"KY2011_e1","KY2011_e1_2","ENEMY",1,6,858,"Include",208
"KY2011_e1","KY2011_e1_2","CONDUCTOR",0,6,817,"Include",209
"KY2011_e1","KY2011_e1_2","RADAR",0,1,940,"Include",210
"KY2011_e1","KY2011_e1_2","RELIEF",1,1,1272,"Include",211
"KY2011_e1","KY2011_e1_2","TRAFFIC",0,6,874,"Include",212
"KY2011_e1","KY2011_e1_2","HEELS",0,1,921,"Include",213
"KY2011_e1","KY2011_e1_2","LOYALTY",1,6,892,"Include",214
"KY2011_e1","KY2011_e1_2","MEAL",0,1,1488,"Include",215
"KY2011_e1","KY2011_e1_2","PANEL",1,1,1406,"Include",216
"KY2011_e1","KY2011_e1_2","CLAY",1,6,839,"Include",217
"KY2011_e1","KY2011_e1_2","ASSEMBLY",1,6,2052,"Include",218
"KY2011_e1","KY2011_e1_2","PATTERNS",1,6,1075,"Include",219
"KY2011_e1","KY2011_e1_2","EARS",0,6,888,"Include",220
"KY2011_e1","KY2011_e1_2","MECHANISM",1,6,899,"Include",221
"KY2011_e1","KY2011_e1_2","MARTEN",1,1,4510,"Include",222
"KY2011_e1","KY2011_e1_2","CARD",0,6,793,"Include",223
"KY2011_e1","KY2011_e1_2","GIFT",1,6,687,"Include",224
"KY2011_e1","KY2011_e1_2","DECISIONS",0,6,2424,"Include",225
"KY2011_e1","KY2011_e1_2","PROSPECT",0,1,1031,"Include",226
"KY2011_e1","KY2011_e1_2","PITCHER",1,6,1685,"Include",227
"KY2011_e1","KY2011_e1_2","BAKER",0,6,1189,"Include",228
"KY2011_e1","KY2011_e1_2","LADY",1,6,907,"Include",229
"KY2011_e1","KY2011_e1_2","ADULTS",1,1,1955,"Include",230
"KY2011_e1","KY2011_e1_2","PORCH",0,1,728,"Include",231
"KY2011_e1","KY2011_e1_2","MIDNIGHT",0,1,950,"Include",232
"KY2011_e1","KY2011_e1_2","LAKE",0,6,1429,"Include",233
"KY2011_e1","KY2011_e1_2","WALLS",0,6,811,"Include",234
"KY2011_e1","KY2011_e1_2","GUIDANCE",1,6,948,"Include",235
"KY2011_e1","KY2011_e1_2","OPINION",1,6,722,"Include",236
"KY2011_e1","KY2011_e1_2","RAILROAD",0,1,1059,"Include",237
"KY2011_e1","KY2011_e1_2","LEADER",1,6,947,"Include",238
"KY2011_e1","KY2011_e1_2","SAFETY",1,6,788,"Include",239
"KY2011_e1","KY2011_e1_2","DEGREES",0,6,1466,"Include",240
"KY2011_e1","KY2011_e1_2","CAFE",0,6,1632,"Include",241
"KY2011_e1","KY2011_e1_2","PLANET",1,6,1840,"Include",242
"KY2011_e1","KY2011_e1_2","PENNY",1,1,1325,"Include",243
"KY2011_e1","KY2011_e1_2","MILE",0,1,1881,"Include",244
"KY2011_e1","KY2011_e1_2","MIXTURE",1,6,929,"Include",245
"KY2011_e1","KY2011_e1_2","SENTIMENT",1,6,1440,"Include",246
"KY2011_e1","KY2011_e1_2","ASSISTANT",0,6,1202,"Include",247
"KY2011_e1","KY2011_e1_2","PASSAGE",1,1,1313,"Include",248
"KY2011_e1","KY2011_e1_2","EXPENSE",1,1,1315,"Include",249
"KY2011_e1","KY2011_e1_2","CHEST",1,6,1034,"Include",250
"KY2011_e1","KY2011_e1_2","POEM",0,1,1938,"Include",251
"KY2011_e1","KY2011_e1_2","LESSON",1,1,990,"Include",252
"KY2011_e1","KY2011_e1_2","STORAGE",0,1,1229,"Include",253
"KY2011_e1","KY2011_e1_2","RATIO",1,6,1159,"Include",254
"KY2011_e1","KY2011_e1_2","INTERVALS",0,6,913,"Include",255
"KY2011_e1","KY2011_e1_2","PROFESSOR",1,6,906,"Include",256
"KY2011_e1","KY2011_e1_2","FIST",0,1,930,"Include",257
"KY2011_e1","KY2011_e1_2","SUBSTRATE",0,1,2223,"Include",258
"KY2011_e1","KY2011_e1_2","YOUTH",1,6,1146,"Include",259
"KY2011_e1","KY2011_e1_2","PACKAGE",0,6,1675,"Include",260
"KY2011_e1","KY2011_e1_2","CHEEK",0,1,1910,"Include",261
"KY2011_e1","KY2011_e1_2","DIGNITY",0,1,1800,"Include",262
"KY2011_e1","KY2011_e1_2","SPITE",1,1,1179,"Include",263
"KY2011_e1","KY2011_e1_2","VARIABLES",0,6,1171,"Include",264
"KY2011_e1","KY2011_e1_2","SUITCASE",0,1,1144,"Include",265
"KY2011_e1","KY2011_e1_2","RICE",0,1,1119,"Include",266
"KY2011_e1","KY2011_e1_2","ACADEMY",0,1,1355,"Include",267
"KY2011_e1","KY2011_e1_2","IMITATION",1,6,1016,"Include",268
"KY2011_e1","KY2011_e1_2","ISLANDS",0,6,1961,"Include",269
"KY2011_e1","KY2011_e1_2","KILLER",1,1,1157,"Include",270
"KY2011_e1","KY2011_e1_2","LUNCHEON",1,6,1064,"Include",271
"KY2011_e1","KY2011_e1_2","MILLS",0,1,1180,"Include",272
"KY2011_e1","KY2011_e1_2","TENDENCY",0,6,1137,"Include",273
"KY2011_e1","KY2011_e1_2","EMISSION",1,1,1439,"Include",274
"KY2011_e1","KY2011_e1_2","BALLET",1,6,1341,"Include",275
"KY2011_e1","KY2011_e1_2","TOOL",0,6,1035,"Include",276
"KY2011_e1","KY2011_e1_2","GRAIN",0,6,1397,"Include",277
"KY2011_e1","KY2011_e1_2","CUSTOMER",1,6,1605,"Include",278
"KY2011_e1","KY2011_e1_2","CRITIC",0,1,939,"Include",279
"KY2011_e1","KY2011_e1_2","PERCENT",1,6,1352,"Include",280
"KY2011_e1","KY2011_e1_2","FESTIVAL",0,1,959,"Include",281
"KY2011_e1","KY2011_e1_2","HOTELS",0,1,1005,"Include",282
"KY2011_e1","KY2011_e1_2","INSURANCE",0,1,1233,"Include",283
"KY2011_e1","KY2011_e1_2","WAGON",0,1,870,"Include",284
"KY2011_e1","KY2011_e1_2","TERROR",0,6,1132,"Include",285
"KY2011_e1","KY2011_e1_2","FUNERAL",1,6,1665,"Include",286
"KY2011_e1","KY2011_e1_2","ROADS",1,6,1022,"Include",287
"KY2011_e1","KY2011_e1_2","DINNER",1,6,1268,"Include",288
"KY2011_e1","KY2011_e1_2","DARKNESS",1,1,818,"Include",289
"KY2011_e1","KY2011_e1_2","MARBLE",1,6,898,"Include",290
"KY2011_e1","KY2011_e1_2","INJURY",0,6,932,"Include",291
"KY2011_e1","KY2011_e1_2","SURVIVAL",0,1,1178,"Include",292
"KY2011_e1","KY2011_e1_2","COLONY",1,6,1420,"Include",293
"KY2011_e1","KY2011_e1_2","HABIT",1,6,1168,"Include",294
"KY2011_e1","KY2011_e1_2","AGENT",1,6,869,"Include",295
"KY2011_e1","KY2011_e1_2","ILLNESS",1,6,1040,"Include",296
"KY2011_e1","KY2011_e1_2","OWNER",0,1,1280,"Include",297
"KY2011_e1","KY2011_e1_2","RECEPTION",0,5,2339,"Include",298
"KY2011_e1","KY2011_e1_2","SAVINGS",0,3,3188,"Include",299
"KY2011_e1","KY2011_e1_2","ENERGY",0,6,1777,"Include",300
"KY2011_e1","KY2011_e1_2","INVENTORY",0,1,1012,"Include",301
"KY2011_e1","KY2011_e1_2","FICTION",1,6,1161,"Include",302
"KY2011_e1","KY2011_e1_2","WARREN",0,1,2359,"Include",303
"KY2011_e1","KY2011_e1_2","TRADITION",0,1,1310,"Include",304
"KY2011_e1","KY2011_e1_2","PAYMENT",1,1,975,"Include",305
"KY2011_e1","KY2011_e1_2","PIKE",0,1,865,"Include",306
"KY2011_e1","KY2011_e1_2","MAGNITUDE",0,6,984,"Include",307
"KY2011_e1","KY2011_e1_2","CLOCK",0,6,1275,"Include",308
"KY2011_e1","KY2011_e1_2","SYMPATHY",1,6,1231,"Include",309
"KY2011_e1","KY2011_e1_2","SAUCE",1,6,1207,"Include",310
"KY2011_e1","KY2011_e1_2","THOUGHTS",0,6,3761,"Include",311
"KY2011_e1","KY2011_e1_2","SUMMARY",1,6,1585,"Include",312
"KY2011_e1","KY2011_e1_2","MANAGER",0,6,915,"Include",313
"KY2011_e1","KY2011_e1_2","REACTIONS",1,6,1260,"Include",314
"KY2011_e1","KY2011_e1_2","BLANKET",1,6,924,"Include",315
"KY2011_e1","KY2011_e1_2","PRISON",1,6,815,"Include",316
"KY2011_e1","KY2011_e1_2","THYROID",0,1,1076,"Include",317
"KY2011_e1","KY2011_e1_2","STADIUM",1,1,1221,"Include",318
"KY2011_e1","KY2011_e1_2","ACCURACY",1,6,768,"Include",319
"KY2011_e1","KY2011_e1_2","ARTICLE",0,6,878,"Include",320
"KY2011_e1","KY2011_e1_2","FREQUENCY",1,6,1046,"Include",321
"KY2011_e1","KY2011_e1_2","JACKET",0,6,765,"Include",322
"KY2011_e1","KY2011_e1_2","APPROVAL",1,6,950,"Include",323
"KY2011_e1","KY2011_e1_2","BELIEF",0,6,812,"Include",324
"KY2011_e1","KY2011_e1_2","PALFREY",1,1,1841,"Include",325
"KY2011_e1","KY2011_e1_2","FORMATION",1,6,2736,"Include",326
"KY2011_e1","KY2011_e1_2","CONSUMER",1,6,4954,"Include",327
"KY2011_e1","KY2011_e1_2","COFFEE",1,6,9648,"Include",328
"KY2011_e1","KY2011_e1_2","MAXIMUM",1,6,16911,"Include",329
"KY2011_e1","KY2011_e1_2","LEATHER",1,6,18192,"Include",330
"KY2011_e1","KY2011_e1_2","EXPANSION",1,6,941,"Include",331
"KY2011_e1","KY2011_e1_2","ADMISSION",0,1,1194,"Include",332
"KY2011_e1","KY2011_e1_2","ACRES",0,6,1135,"Include",333
"KY2011_e1","KY2011_e1_2","SERGEANT",1,6,923,"Include",334
"KY2011_e1","KY2011_e1_2","AVENUE",0,1,3135,"Include",335
"KY2011_e1","KY2011_e1_2","FACULTY",0,6,984,"Include",336
"KY2011_e1","KY2011_e1_2","LANE",0,1,1026,"Include",337
"KY2011_e1","KY2011_e1_2","THEORIES",0,6,1408,"Include",338
"KY2011_e1","KY2011_e1_2","MUSTARD",0,1,1132,"Include",339
"KY2011_e1","KY2011_e1_2","ILLUSION",1,6,1030,"Include",340
"KY2011_e1","KY2011_e1_2","CHANDLER",0,1,1143,"Include",341
"KY2011_e1","KY2011_e1_2","ALLIANCE",0,6,1117,"Include",342
"KY2011_e1","KY2011_e1_2","MINUTE",1,6,1089,"Include",343
"KY2011_e1","KY2011_e1_2","FIRMS",0,6,827,"Include",344
"KY2011_e1","KY2011_e1_2","DISPOSAL",0,1,856,"Include",345
"KY2011_e1","KY2011_e1_2","INTENTION",0,1,1702,"Include",346
"KY2011_e1","KY2011_e1_2","DOLLAR",1,6,860,"Include",347
"KY2011_e1","KY2011_e1_2","COMPANIES",1,6,953,"Include",348
"KY2011_e1","KY2011_e1_2","SECURITY",1,6,780,"Include",349
"KY2011_e1","KY2011_e1_2","STORIES",1,6,1645,"Include",350
"KY2011_e1","KY2011_e1_2","THOUSANDS",1,6,1192,"Include",351
"KY2011_e1","KY2011_e1_2","PARENTS",0,6,813,"Include",352
"KY2011_e1","KY2011_e1_2","FEES",0,1,885,"Include",353
"KY2011_e1","KY2011_e1_2","FEELINGS",1,1,820,"Include",354
"KY2011_e1","KY2011_e1_2","SERVANTS",0,6,1241,"Include",355
"KY2011_e1","KY2011_e1_2","PERSONNEL",1,6,1027,"Include",356
"KY2011_e1","KY2011_e1_2","DETECTIVE",1,1,1570,"Include",357
"KY2011_e1","KY2011_e1_2","AIRCRAFT",1,1,1037,"Include",358
"KY2011_e1","KY2011_e1_2","MEETINGS",0,6,3429,"Include",359
"KY2011_e1","KY2011_e1_2","EDITOR",1,6,1359,"Include",360
"KY2011_e1","KY2011_e1_2","LOCATION",0,6,1399,"Include",361
"KY2011_e1","KY2011_e1_2","TEARS",1,6,877,"Include",362
"KY2011_e1","KY2011_e1_2","MISSION",0,6,1044,"Include",363
"KY2011_e1","KY2011_e1_2","HEIGHT",1,6,914,"Include",364
"KY2011_e1","KY2011_e1_2","DAUGHTER",1,6,789,"Include",365
"KY2011_e1","KY2011_e1_2","EVENT",1,1,1502,"Include",366
"KY2011_e1","KY2011_e1_2","MEDICINE",1,6,630,"Include",367
