"exp","id","item","isold","condition1","rating","excluding"
"TMP2014_e1","TMP2014_e1_238","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_239","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_242","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_246","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_252","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_254","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_256","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_258","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_260","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_264","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_266","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_268","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_270","Neg_01",1,"Neg",2,"Include"
"TMP2014_e1","TMP2014_e1_272","Neg_01",1,"Neg",2,"Include"
"TMP2014_e1","TMP2014_e1_274","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_276","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_278","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_280","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_282","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_286","Neg_01",1,"Neg",99,"Exclude"
"TMP2014_e1","TMP2014_e1_288","Neg_01",1,"Neg",3,"Include"
"TMP2014_e1","TMP2014_e1_290","Neg_01",1,"Neg",99,"Exclude"
"TMP2014_e1","TMP2014_e1_292","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_294","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_298","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_302","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_304","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_306","Neg_01",1,"Neg",1,"Include"
"TMP2014_e1","TMP2014_e1_308","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_310","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_314","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_316","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_318","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_320","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_324","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_326","Neg_01",1,"Neg",5,"Include"
"TMP2014_e1","TMP2014_e1_328","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_332","Neg_01",1,"Neg",6,"Include"
"TMP2014_e1","TMP2014_e1_334","Neg_01",1,"Neg",4,"Include"
"TMP2014_e1","TMP2014_e1_340","Neg_01",1,"Neg",6,"Include"
